       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   13540299           1.00
       0.000 0.100000000000   13540299           1.11
       0.000 0.200000000000   13540299           1.25
       0.000 0.300000000000   13540299           1.43
       0.000 0.400000000000   13540299           1.67
       0.000 0.500000000000   13540299           2.00
       0.000 0.550000000000   13540299           2.22
       0.000 0.600000000000   13540299           2.50
       0.000 0.650000000000   13540299           2.86
       0.000 0.700000000000   13540299           3.33
       0.000 0.750000000000   13540299           4.00
       0.000 0.775000000000   13540299           4.44
       0.000 0.800000000000   13540299           5.00
       0.000 0.825000000000   13540299           5.71
       0.000 0.850000000000   13540299           6.67
       0.000 0.875000000000   13540299           8.00
       0.000 0.887500000000   13540299           8.89
       0.000 0.900000000000   13540299          10.00
       0.000 0.912500000000   13540299          11.43
       1.000 0.925000000000   14819945          13.33
       1.000 0.937500000000   14819945          16.00
       1.000 0.943750000000   14819945          17.78
       1.000 0.950000000000   14819945          20.00
       1.000 0.956250000000   14819945          22.86
       1.000 0.962500000000   14819945          26.67
       1.000 0.968750000000   14819945          32.00
       1.000 0.971875000000   14819945          35.56
       1.000 0.975000000000   14819945          40.00
       1.000 0.978125000000   14819945          45.71
       1.000 0.981250000000   14819945          53.33
       1.000 0.984375000000   14819945          64.00
       1.000 0.985937500000   14819945          71.11
       1.000 0.987500000000   14819945          80.00
       1.000 0.989062500000   14819945          91.43
       1.000 0.990625000000   14819945         106.67
       1.000 0.992187500000   14819945         128.00
       1.000 0.992968750000   14819945         142.22
       1.000 0.993750000000   14819945         160.00
       1.000 0.994531250000   14819945         182.86
       1.000 0.995312500000   14819945         213.33
       1.000 0.996093750000   14819945         256.00
       1.000 0.996484375000   14819945         284.44
       1.000 0.996875000000   14819945         320.00
       1.000 0.997265625000   14819945         365.71
       1.000 0.997656250000   14819945         426.67
       1.000 0.998046875000   14819945         512.00
       1.000 0.998242187500   14819945         568.89
       1.000 0.998437500000   14819945         640.00
       1.000 0.998632812500   14819945         731.43
       1.000 0.998828125000   14819945         853.33
       1.000 0.999023437500   14819945        1024.00
       1.000 0.999121093750   14819945        1137.78
       1.000 0.999218750000   14819945        1280.00
       1.000 0.999316406250   14819945        1462.86
       1.000 0.999414062500   14819945        1706.67
       1.000 0.999511718750   14819945        2048.00
       1.000 0.999560546875   14819945        2275.56
       1.000 0.999609375000   14819945        2560.00
       1.000 0.999658203125   14819945        2925.71
       1.000 0.999707031250   14819945        3413.33
       1.000 0.999755859375   14819945        4096.00
       1.000 0.999780273438   14819945        4551.11
       1.000 0.999804687500   14819945        5120.00
       1.000 0.999829101563   14819945        5851.43
       1.000 0.999853515625   14819945        6826.67
       1.000 0.999877929688   14819945        8192.00
       1.000 0.999890136719   14819945        9102.22
       1.000 0.999902343750   14819945       10240.00
       1.000 0.999914550781   14819945       11702.86
       1.000 0.999926757813   14819945       13653.33
       1.000 0.999938964844   14819945       16384.00
       1.000 0.999945068359   14819945       18204.44
       1.000 0.999951171875   14819945       20480.00
       1.000 0.999957275391   14819945       23405.71
       1.000 0.999963378906   14819945       27306.67
       1.000 0.999969482422   14819945       32768.00
       1.000 0.999972534180   14819945       36408.89
       1.000 0.999975585938   14819945       40960.00
       1.000 0.999978637695   14819945       46811.43
       1.000 0.999981689453   14819945       54613.33
       1.000 0.999984741211   14819945       65536.00
       1.000 0.999986267090   14819945       72817.78
       1.000 0.999987792969   14819945       81920.00
       1.000 0.999989318848   14819945       93622.86
       1.000 0.999990844727   14819945      109226.67
       1.000 0.999992370605   14819945      131072.00
       1.000 0.999993133545   14819945      145635.56
       1.000 0.999993896484   14819945      163840.00
       1.000 0.999994659424   14819945      187245.71
       1.000 0.999995422363   14819945      218453.33
       1.000 0.999996185303   14819945      262144.00
       2.000 0.999996566772   14819983      291271.11
       2.000 0.999996948242   14819983      327680.00
       2.000 0.999997329712   14819983      374491.43
       2.000 0.999997711182   14819983      436906.67
       2.000 0.999998092651   14819983      524288.00
       2.000 0.999998283386   14819983      582542.22
       2.000 0.999998474121   14819983      655360.00
       2.000 0.999998664856   14819983      748982.86
       3.000 0.999998855591   14820000      873813.33
       3.000 1.000000000000   14820000
#[Mean    =        0.086, StdDeviation   =        0.281]
#[Max     =        3.000, Total count    =     14820000]
#[Buckets =            4, SubBuckets     =         2048]
