       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   22632355           1.00
       0.000 0.100000000000   22632355           1.11
       0.000 0.200000000000   22632355           1.25
       0.000 0.300000000000   22632355           1.43
       0.000 0.400000000000   22632355           1.67
       0.000 0.500000000000   22632355           2.00
       0.000 0.550000000000   22632355           2.22
       0.000 0.600000000000   22632355           2.50
       0.000 0.650000000000   22632355           2.86
       0.000 0.700000000000   22632355           3.33
       0.000 0.750000000000   22632355           4.00
       1.000 0.775000000000   26278974           4.44
       1.000 0.800000000000   26278974           5.00
       1.000 0.825000000000   26278974           5.71
       1.000 0.850000000000   26278974           6.67
       1.000 0.875000000000   26278974           8.00
       2.000 0.887500000000   27473725           8.89
       2.000 0.900000000000   27473725          10.00
       2.000 0.912500000000   27473725          11.43
       3.000 0.925000000000   28408528          13.33
       3.000 0.937500000000   28408528          16.00
       3.000 0.943750000000   28408528          17.78
       4.000 0.950000000000   29037920          20.00
       4.000 0.956250000000   29037920          22.86
       4.000 0.962500000000   29037920          26.67
       5.000 0.968750000000   29380338          32.00
       5.000 0.971875000000   29380338          35.56
       5.000 0.975000000000   29380338          40.00
       5.000 0.978125000000   29380338          45.71
       6.000 0.981250000000   29575382          53.33
       6.000 0.984375000000   29575382          64.00
       7.000 0.985937500000   29688495          71.11
       7.000 0.987500000000   29688495          80.00
       7.000 0.989062500000   29688495          91.43
       8.000 0.990625000000   29754253         106.67
       9.000 0.992187500000   29794400         128.00
       9.000 0.992968750000   29794400         142.22
      10.000 0.993750000000   29818771         160.00
      12.000 0.994531250000   29847392         182.86
      14.000 0.995312500000   29864556         213.33
      18.000 0.996093750000   29885816         256.00
      21.000 0.996484375000   29897726         284.44
      24.000 0.996875000000   29907985         320.00
      28.000 0.997265625000   29919791         365.71
      32.000 0.997656250000   29930070         426.67
      39.000 0.998046875000   29942488         512.00
      43.000 0.998242187500   29947658         568.89
      48.000 0.998437500000   29953501         640.00
      53.000 0.998632812500   29959518         731.43
      58.000 0.998828125000   29965568         853.33
      63.000 0.999023437500   29971517        1024.00
      65.000 0.999121093750   29973775        1137.78
      69.000 0.999218750000   29977183        1280.00
      73.000 0.999316406250   29980180        1462.86
      77.000 0.999414062500   29982933        1706.67
      82.000 0.999511718750   29985661        2048.00
      85.000 0.999560546875   29987187        2275.56
      88.000 0.999609375000   29988690        2560.00
      91.000 0.999658203125   29989957        2925.71
      95.000 0.999707031250   29991661        3413.33
      98.000 0.999755859375   29992729        4096.00
     100.000 0.999780273438   29993486        4551.11
     103.000 0.999804687500   29994237        5120.00
     105.000 0.999829101563   29994887        5851.43
     108.000 0.999853515625   29995767        6826.67
     111.000 0.999877929688   29996488        8192.00
     112.000 0.999890136719   29996746        9102.22
     114.000 0.999902343750   29997101       10240.00
     117.000 0.999914550781   29997616       11702.86
     119.000 0.999926757813   29997864       13653.33
     122.000 0.999938964844   29998229       16384.00
     123.000 0.999945068359   29998358       18204.44
     125.000 0.999951171875   29998582       20480.00
     127.000 0.999957275391   29998721       23405.71
     129.000 0.999963378906   29998967       27306.67
     131.000 0.999969482422   29999124       32768.00
     133.000 0.999972534180   29999215       36408.89
     136.000 0.999975585938   29999294       40960.00
     138.000 0.999978637695   29999380       46811.43
     141.000 0.999981689453   29999459       54613.33
     143.000 0.999984741211   29999552       65536.00
     145.000 0.999986267090   29999616       72817.78
     146.000 0.999987792969   29999644       81920.00
     148.000 0.999989318848   29999686       93622.86
     150.000 0.999990844727   29999726      109226.67
     153.000 0.999992370605   29999774      131072.00
     155.000 0.999993133545   29999799      145635.56
     157.000 0.999993896484   29999821      163840.00
     158.000 0.999994659424   29999850      187245.71
     159.000 0.999995422363   29999868      218453.33
     161.000 0.999996185303   29999895      262144.00
     162.000 0.999996566772   29999906      291271.11
     163.000 0.999996948242   29999917      327680.00
     164.000 0.999997329712   29999927      374491.43
     166.000 0.999997711182   29999933      436906.67
     169.000 0.999998092651   29999945      524288.00
     174.000 0.999998283386   29999962      582542.22
     174.000 0.999998474121   29999962      655360.00
     174.000 0.999998664856   29999962      748982.86
     175.000 0.999998855591   29999966      873813.33
     176.000 0.999999046326   29999972     1048576.00
     179.000 0.999999141693   29999981     1165084.44
     179.000 0.999999237061   29999981     1310720.00
     179.000 0.999999332428   29999981     1497965.71
     182.000 0.999999427795   29999990     1747626.67
     182.000 0.999999523163   29999990     2097152.00
     182.000 0.999999570847   29999990     2330168.89
     182.000 0.999999618530   29999990     2621440.00
     182.000 0.999999666214   29999990     2995931.43
     184.000 0.999999713898   29999992     3495253.33
     187.000 0.999999761581   29999993     4194304.00
     255.000 0.999999785423   29999997     4660337.78
     255.000 0.999999809265   29999997     5242880.00
     255.000 0.999999833107   29999997     5991862.86
     255.000 0.999999856949   29999997     6990506.67
     255.000 0.999999880791   29999997     8388608.00
     255.000 0.999999892712   29999997     9320675.55
     256.000 0.999999904633   30000000    10485760.00
     256.000 1.000000000000   30000000
#[Mean    =        0.753, StdDeviation   =        3.672]
#[Max     =      256.000, Total count    =     30000000]
#[Buckets =            4, SubBuckets     =         2048]
