       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    2977093           1.00
       0.000 0.100000000000    2977093           1.11
       0.000 0.200000000000    2977093           1.25
       0.000 0.300000000000    2977093           1.43
       0.000 0.400000000000    2977093           1.67
       0.000 0.500000000000    2977093           2.00
       0.000 0.550000000000    2977093           2.22
       0.000 0.600000000000    2977093           2.50
       0.000 0.650000000000    2977093           2.86
       0.000 0.700000000000    2977093           3.33
       0.000 0.750000000000    2977093           4.00
       0.000 0.775000000000    2977093           4.44
       0.000 0.800000000000    2977093           5.00
       0.000 0.825000000000    2977093           5.71
       0.000 0.850000000000    2977093           6.67
       0.000 0.875000000000    2977093           8.00
       0.000 0.887500000000    2977093           8.89
       0.000 0.900000000000    2977093          10.00
       0.000 0.912500000000    2977093          11.43
       0.000 0.925000000000    2977093          13.33
       0.000 0.937500000000    2977093          16.00
       0.000 0.943750000000    2977093          17.78
       0.000 0.950000000000    2977093          20.00
       0.000 0.956250000000    2977093          22.86
       0.000 0.962500000000    2977093          26.67
       0.000 0.968750000000    2977093          32.00
       0.000 0.971875000000    2977093          35.56
       0.000 0.975000000000    2977093          40.00
       0.000 0.978125000000    2977093          45.71
       0.000 0.981250000000    2977093          53.33
       0.000 0.984375000000    2977093          64.00
       0.000 0.985937500000    2977093          71.11
       0.000 0.987500000000    2977093          80.00
       0.000 0.989062500000    2977093          91.43
       0.000 0.990625000000    2977093         106.67
       0.000 0.992187500000    2977093         128.00
       1.000 0.992968750000    2996749         142.22
       1.000 0.993750000000    2996749         160.00
       1.000 0.994531250000    2996749         182.86
       1.000 0.995312500000    2996749         213.33
       1.000 0.996093750000    2996749         256.00
       1.000 0.996484375000    2996749         284.44
       1.000 0.996875000000    2996749         320.00
       1.000 0.997265625000    2996749         365.71
       1.000 0.997656250000    2996749         426.67
       1.000 0.998046875000    2996749         512.00
       1.000 0.998242187500    2996749         568.89
       1.000 0.998437500000    2996749         640.00
       1.000 0.998632812500    2996749         731.43
       1.000 0.998828125000    2996749         853.33
       2.000 0.999023437500    2999093        1024.00
       2.000 0.999121093750    2999093        1137.78
       2.000 0.999218750000    2999093        1280.00
       2.000 0.999316406250    2999093        1462.86
       2.000 0.999414062500    2999093        1706.67
       2.000 0.999511718750    2999093        2048.00
       2.000 0.999560546875    2999093        2275.56
       2.000 0.999609375000    2999093        2560.00
       2.000 0.999658203125    2999093        2925.71
       3.000 0.999707031250    2999805        3413.33
       3.000 0.999755859375    2999805        4096.00
       3.000 0.999780273438    2999805        4551.11
       3.000 0.999804687500    2999805        5120.00
       3.000 0.999829101563    2999805        5851.43
       3.000 0.999853515625    2999805        6826.67
       3.000 0.999877929688    2999805        8192.00
       3.000 0.999890136719    2999805        9102.22
       3.000 0.999902343750    2999805       10240.00
       3.000 0.999914550781    2999805       11702.86
       3.000 0.999926757813    2999805       13653.33
       4.000 0.999938964844    2999952       16384.00
       4.000 0.999945068359    2999952       18204.44
       4.000 0.999951171875    2999952       20480.00
       4.000 0.999957275391    2999952       23405.71
       4.000 0.999963378906    2999952       27306.67
       4.000 0.999969482422    2999952       32768.00
       4.000 0.999972534180    2999952       36408.89
       4.000 0.999975585938    2999952       40960.00
       4.000 0.999978637695    2999952       46811.43
       4.000 0.999981689453    2999952       54613.33
       5.000 0.999984741211    2999993       65536.00
       5.000 0.999986267090    2999993       72817.78
       5.000 0.999987792969    2999993       81920.00
       5.000 0.999989318848    2999993       93622.86
       5.000 0.999990844727    2999993      109226.67
       5.000 0.999992370605    2999993      131072.00
       5.000 0.999993133545    2999993      145635.56
       5.000 0.999993896484    2999993      163840.00
       5.000 0.999994659424    2999993      187245.71
       5.000 0.999995422363    2999993      218453.33
       5.000 0.999996185303    2999993      262144.00
       5.000 0.999996566772    2999993      291271.11
       5.000 0.999996948242    2999993      327680.00
       5.000 0.999997329712    2999993      374491.43
       6.000 0.999997711182    3000000      436906.67
       6.000 1.000000000000    3000000
#[Mean    =        0.009, StdDeviation   =        0.114]
#[Max     =        6.000, Total count    =      3000000]
#[Buckets =            4, SubBuckets     =         2048]
