       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   22508553           1.00
       0.000 0.100000000000   22508553           1.11
       0.000 0.200000000000   22508553           1.25
       0.000 0.300000000000   22508553           1.43
       0.000 0.400000000000   22508553           1.67
       0.000 0.500000000000   22508553           2.00
       0.000 0.550000000000   22508553           2.22
       0.000 0.600000000000   22508553           2.50
       0.000 0.650000000000   22508553           2.86
       0.000 0.700000000000   22508553           3.33
       0.000 0.750000000000   22508553           4.00
       0.000 0.775000000000   22508553           4.44
       0.000 0.800000000000   22508553           5.00
       0.000 0.825000000000   22508553           5.71
       0.000 0.850000000000   22508553           6.67
       0.000 0.875000000000   22508553           8.00
       0.000 0.887500000000   22508553           8.89
       0.000 0.900000000000   22508553          10.00
       1.000 0.912500000000   24469443          11.43
       1.000 0.925000000000   24469443          13.33
       1.000 0.937500000000   24469443          16.00
       1.000 0.943750000000   24469443          17.78
       1.000 0.950000000000   24469443          20.00
       1.000 0.956250000000   24469443          22.86
       1.000 0.962500000000   24469443          26.67
       1.000 0.968750000000   24469443          32.00
       1.000 0.971875000000   24469443          35.56
       1.000 0.975000000000   24469443          40.00
       1.000 0.978125000000   24469443          45.71
       2.000 0.981250000000   24558639          53.33
       3.000 0.984375000000   24809352          64.00
       3.000 0.985937500000   24809352          71.11
       3.000 0.987500000000   24809352          80.00
       3.000 0.989062500000   24809352          91.43
       3.000 0.990625000000   24809352         106.67
       3.000 0.992187500000   24809352         128.00
       3.000 0.992968750000   24809352         142.22
       3.000 0.993750000000   24809352         160.00
       4.000 0.994531250000   24945432         182.86
       4.000 0.995312500000   24945432         213.33
       4.000 0.996093750000   24945432         256.00
       4.000 0.996484375000   24945432         284.44
       4.000 0.996875000000   24945432         320.00
       4.000 0.997265625000   24945432         365.71
       4.000 0.997656250000   24945432         426.67
       4.000 0.998046875000   24945432         512.00
       4.000 0.998242187500   24945432         568.89
       4.000 0.998437500000   24945432         640.00
       4.000 0.998632812500   24945432         731.43
       4.000 0.998828125000   24945432         853.33
       4.000 0.999023437500   24945432        1024.00
       4.000 0.999121093750   24945432        1137.78
       4.000 0.999218750000   24945432        1280.00
       4.000 0.999316406250   24945432        1462.86
       4.000 0.999414062500   24945432        1706.67
       5.000 0.999511718750   24959846        2048.00
       5.000 0.999560546875   24959846        2275.56
       5.000 0.999609375000   24959846        2560.00
       5.000 0.999658203125   24959846        2925.71
       5.000 0.999707031250   24959846        3413.33
       5.000 0.999755859375   24959846        4096.00
       5.000 0.999780273438   24959846        4551.11
       5.000 0.999804687500   24959846        5120.00
       5.000 0.999829101563   24959846        5851.43
       5.000 0.999853515625   24959846        6826.67
       5.000 0.999877929688   24959846        8192.00
       5.000 0.999890136719   24959846        9102.22
       5.000 0.999902343750   24959846       10240.00
       5.000 0.999914550781   24959846       11702.86
       5.000 0.999926757813   24959846       13653.33
       5.000 0.999938964844   24959846       16384.00
       5.000 0.999945068359   24959846       18204.44
       5.000 0.999951171875   24959846       20480.00
       5.000 0.999957275391   24959846       23405.71
       5.000 0.999963378906   24959846       27306.67
       5.000 0.999969482422   24959846       32768.00
       5.000 0.999972534180   24959846       36408.89
       5.000 0.999975585938   24959846       40960.00
       5.000 0.999978637695   24959846       46811.43
       5.000 0.999981689453   24959846       54613.33
       5.000 0.999984741211   24959846       65536.00
       5.000 0.999986267090   24959846       72817.78
       5.000 0.999987792969   24959846       81920.00
       5.000 0.999989318848   24959846       93622.86
       5.000 0.999990844727   24959846      109226.67
       5.000 0.999992370605   24959846      131072.00
       5.000 0.999993133545   24959846      145635.56
       6.000 0.999993896484   24960000      163840.00
       6.000 1.000000000000   24960000
#[Mean    =        0.141, StdDeviation   =        0.515]
#[Max     =        6.000, Total count    =     24960000]
#[Buckets =            4, SubBuckets     =         2048]
