       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   14406376           1.00
       0.000 0.100000000000   14406376           1.11
       0.000 0.200000000000   14406376           1.25
       0.000 0.300000000000   14406376           1.43
       0.000 0.400000000000   14406376           1.67
       0.000 0.500000000000   14406376           2.00
       0.000 0.550000000000   14406376           2.22
       0.000 0.600000000000   14406376           2.50
       0.000 0.650000000000   14406376           2.86
       0.000 0.700000000000   14406376           3.33
       0.000 0.750000000000   14406376           4.00
       0.000 0.775000000000   14406376           4.44
       0.000 0.800000000000   14406376           5.00
       0.000 0.825000000000   14406376           5.71
       0.000 0.850000000000   14406376           6.67
       0.000 0.875000000000   14406376           8.00
       0.000 0.887500000000   14406376           8.89
       0.000 0.900000000000   14406376          10.00
       0.000 0.912500000000   14406376          11.43
       0.000 0.925000000000   14406376          13.33
       0.000 0.937500000000   14406376          16.00
       0.000 0.943750000000   14406376          17.78
       0.000 0.950000000000   14406376          20.00
       0.000 0.956250000000   14406376          22.86
       0.000 0.962500000000   14406376          26.67
       0.000 0.968750000000   14406376          32.00
       0.000 0.971875000000   14406376          35.56
       1.000 0.975000000000   14748972          40.00
       1.000 0.978125000000   14748972          45.71
       1.000 0.981250000000   14748972          53.33
       1.000 0.984375000000   14748972          64.00
       1.000 0.985937500000   14748972          71.11
       1.000 0.987500000000   14748972          80.00
       1.000 0.989062500000   14748972          91.43
       1.000 0.990625000000   14748972         106.67
       1.000 0.992187500000   14748972         128.00
       1.000 0.992968750000   14748972         142.22
       1.000 0.993750000000   14748972         160.00
       1.000 0.994531250000   14748972         182.86
       2.000 0.995312500000   14774633         213.33
       2.000 0.996093750000   14774633         256.00
       2.000 0.996484375000   14774633         284.44
       2.000 0.996875000000   14774633         320.00
       3.000 0.997265625000   14789446         365.71
       3.000 0.997656250000   14789446         426.67
       4.000 0.998046875000   14798316         512.00
       4.000 0.998242187500   14798316         568.89
       4.000 0.998437500000   14798316         640.00
       5.000 0.998632812500   14803851         731.43
       5.000 0.998828125000   14803851         853.33
       6.000 0.999023437500   14807331        1024.00
       6.000 0.999121093750   14807331        1137.78
       7.000 0.999218750000   14809945        1280.00
       7.000 0.999316406250   14809945        1462.86
       8.000 0.999414062500   14812011        1706.67
       9.000 0.999511718750   14813612        2048.00
       9.000 0.999560546875   14813612        2275.56
      10.000 0.999609375000   14814755        2560.00
      11.000 0.999658203125   14815680        2925.71
      11.000 0.999707031250   14815680        3413.33
      12.000 0.999755859375   14816628        4096.00
      13.000 0.999780273438   14817294        4551.11
      13.000 0.999804687500   14817294        5120.00
      14.000 0.999829101563   14817880        5851.43
      14.000 0.999853515625   14817880        6826.67
      15.000 0.999877929688   14818353        8192.00
      16.000 0.999890136719   14818717        9102.22
      16.000 0.999902343750   14818717       10240.00
      17.000 0.999914550781   14819028       11702.86
      17.000 0.999926757813   14819028       13653.33
      18.000 0.999938964844   14819226       16384.00
      18.000 0.999945068359   14819226       18204.44
      19.000 0.999951171875   14819421       20480.00
      19.000 0.999957275391   14819421       23405.71
      20.000 0.999963378906   14819574       27306.67
      20.000 0.999969482422   14819574       32768.00
      21.000 0.999972534180   14819662       36408.89
      21.000 0.999975585938   14819662       40960.00
      22.000 0.999978637695   14819732       46811.43
      22.000 0.999981689453   14819732       54613.33
      23.000 0.999984741211   14819816       65536.00
      23.000 0.999986267090   14819816       72817.78
      24.000 0.999987792969   14819871       81920.00
      24.000 0.999989318848   14819871       93622.86
      24.000 0.999990844727   14819871      109226.67
      25.000 0.999992370605   14819903      131072.00
      25.000 0.999993133545   14819903      145635.56
      26.000 0.999993896484   14819932      163840.00
      26.000 0.999994659424   14819932      187245.71
      27.000 0.999995422363   14819938      218453.33
      28.000 0.999996185303   14819949      262144.00
      29.000 0.999996566772   14819965      291271.11
      29.000 0.999996948242   14819965      327680.00
      29.000 0.999997329712   14819965      374491.43
      30.000 0.999997711182   14819970      436906.67
      31.000 0.999998092651   14819975      524288.00
      31.000 0.999998283386   14819975      582542.22
      33.000 0.999998474121   14819986      655360.00
      33.000 0.999998664856   14819986      748982.86
      33.000 0.999998855591   14819986      873813.33
      33.000 0.999999046326   14819986     1048576.00
      34.000 0.999999141693   14819993     1165084.44
      34.000 0.999999237061   14819993     1310720.00
      34.000 0.999999332428   14819993     1497965.71
      34.000 0.999999427795   14819993     1747626.67
      34.000 0.999999523163   14819993     2097152.00
      35.000 0.999999570847   14819995     2330168.89
      35.000 0.999999618530   14819995     2621440.00
      36.000 0.999999666214   14819996     2995931.43
      36.000 0.999999713898   14819996     3495253.33
      37.000 0.999999761581   14819999     4194304.00
      37.000 0.999999785423   14819999     4660337.78
      37.000 0.999999809265   14819999     5242880.00
      37.000 0.999999833107   14819999     5991862.86
      37.000 0.999999856949   14819999     6990506.67
      37.000 0.999999880791   14819999     8388608.00
      37.000 0.999999892712   14819999     9320675.55
      37.000 0.999999904633   14819999    10485760.00
      37.000 0.999999916553   14819999    11983725.71
      37.000 0.999999928474   14819999    13981013.34
      38.000 0.999999940395   14820000    16777216.00
      38.000 1.000000000000   14820000
#[Mean    =        0.045, StdDeviation   =        0.425]
#[Max     =       38.000, Total count    =     14820000]
#[Buckets =            4, SubBuckets     =         2048]
