       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    9147346           1.00
       0.000 0.100000000000    9147346           1.11
       0.000 0.200000000000    9147346           1.25
       0.000 0.300000000000    9147346           1.43
       0.000 0.400000000000    9147346           1.67
       0.000 0.500000000000    9147346           2.00
       0.000 0.550000000000    9147346           2.22
       0.000 0.600000000000    9147346           2.50
       0.000 0.650000000000    9147346           2.86
       0.000 0.700000000000    9147346           3.33
       0.000 0.750000000000    9147346           4.00
       0.000 0.775000000000    9147346           4.44
       0.000 0.800000000000    9147346           5.00
       0.000 0.825000000000    9147346           5.71
       0.000 0.850000000000    9147346           6.67
       0.000 0.875000000000    9147346           8.00
       0.000 0.887500000000    9147346           8.89
       0.000 0.900000000000    9147346          10.00
       0.000 0.912500000000    9147346          11.43
       0.000 0.925000000000    9147346          13.33
       0.000 0.937500000000    9147346          16.00
       0.000 0.943750000000    9147346          17.78
       0.000 0.950000000000    9147346          20.00
       0.000 0.956250000000    9147346          22.86
       0.000 0.962500000000    9147346          26.67
       0.000 0.968750000000    9147346          32.00
       0.000 0.971875000000    9147346          35.56
       0.000 0.975000000000    9147346          40.00
       0.000 0.978125000000    9147346          45.71
       0.000 0.981250000000    9147346          53.33
       0.000 0.984375000000    9147346          64.00
       0.000 0.985937500000    9147346          71.11
       0.000 0.987500000000    9147346          80.00
       0.000 0.989062500000    9147346          91.43
       1.000 0.990625000000    9199733         106.67
       1.000 0.992187500000    9199733         128.00
       1.000 0.992968750000    9199733         142.22
       1.000 0.993750000000    9199733         160.00
       1.000 0.994531250000    9199733         182.86
       1.000 0.995312500000    9199733         213.33
       6.000 0.996093750000    9205128         256.00
       9.000 0.996484375000    9208025         284.44
      30.000 0.996875000000    9211233         320.00
      53.000 0.997265625000    9214831         365.71
      84.000 0.997656250000    9218344         426.67
     114.000 0.998046875000    9221987         512.00
     128.000 0.998242187500    9223833         568.89
     141.000 0.998437500000    9225608         640.00
     156.000 0.998632812500    9227393         731.43
     173.000 0.998828125000    9229204         853.33
     188.000 0.999023437500    9231067        1024.00
     197.000 0.999121093750    9231958        1137.78
     204.000 0.999218750000    9232859        1280.00
     211.000 0.999316406250    9233698        1462.86
     219.000 0.999414062500    9234625        1706.67
     226.000 0.999511718750    9235505        2048.00
     232.000 0.999560546875    9236048        2275.56
     236.000 0.999609375000    9236410        2560.00
     243.000 0.999658203125    9236849        2925.71
     250.000 0.999707031250    9237335        3413.33
     257.000 0.999755859375    9237767        4096.00
     261.000 0.999780273438    9237983        4551.11
     265.000 0.999804687500    9238239        5120.00
     268.000 0.999829101563    9238438        5851.43
     274.000 0.999853515625    9238674        6826.67
     279.000 0.999877929688    9238878        8192.00
     283.000 0.999890136719    9239024        9102.22
     285.000 0.999902343750    9239123       10240.00
     288.000 0.999914550781    9239213       11702.86
     293.000 0.999926757813    9239357       13653.33
     296.000 0.999938964844    9239477       16384.00
     297.000 0.999945068359    9239505       18204.44
     299.000 0.999951171875    9239575       20480.00
     301.000 0.999957275391    9239612       23405.71
     305.000 0.999963378906    9239674       27306.67
     308.000 0.999969482422    9239721       32768.00
     312.000 0.999972534180    9239749       36408.89
     316.000 0.999975585938    9239779       40960.00
     318.000 0.999978637695    9239805       46811.43
     320.000 0.999981689453    9239833       54613.33
     324.000 0.999984741211    9239866       65536.00
     325.000 0.999986267090    9239877       72817.78
     327.000 0.999987792969    9239898       81920.00
     328.000 0.999989318848    9239914       93622.86
     329.000 0.999990844727    9239920      109226.67
     330.000 0.999992370605    9239930      131072.00
     331.000 0.999993133545    9239938      145635.56
     332.000 0.999993896484    9239947      163840.00
     334.000 0.999994659424    9239952      187245.71
     364.000 0.999995422363    9239960      218453.33
     418.000 0.999996185303    9239965      262144.00
     425.000 0.999996566772    9239969      291271.11
     426.000 0.999996948242    9239974      327680.00
     427.000 0.999997329712    9239981      374491.43
     427.000 0.999997711182    9239981      436906.67
     428.000 0.999998092651    9239984      524288.00
     446.000 0.999998283386    9239985      582542.22
     464.000 0.999998474121    9239990      655360.00
     464.000 0.999998664856    9239990      748982.86
     464.000 0.999998855591    9239990      873813.33
     466.000 0.999999046326    9239993     1048576.00
     466.000 0.999999141693    9239993     1165084.44
     466.000 0.999999237061    9239993     1310720.00
     467.000 0.999999332428    9239994     1497965.71
     546.000 0.999999427795    9239995     1747626.67
     563.000 0.999999523163    9239997     2097152.00
     563.000 0.999999570847    9239997     2330168.89
     563.000 0.999999618530    9239997     2621440.00
     563.000 0.999999666214    9239997     2995931.43
     564.000 0.999999713898    9239998     3495253.33
     564.000 0.999999761581    9239998     4194304.00
     565.000 0.999999785423    9239999     4660337.78
     565.000 0.999999809265    9239999     5242880.00
     565.000 0.999999833107    9239999     5991862.86
     565.000 0.999999856949    9239999     6990506.67
     565.000 0.999999880791    9239999     8388608.00
     566.000 0.999999892712    9240000     9320675.55
     566.000 1.000000000000    9240000
#[Mean    =        0.475, StdDeviation   =        9.173]
#[Max     =      566.000, Total count    =      9240000]
#[Buckets =            4, SubBuckets     =         2048]
