       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    6352880           1.00
       0.000 0.100000000000    6352880           1.11
       0.000 0.200000000000    6352880           1.25
       0.000 0.300000000000    6352880           1.43
       0.000 0.400000000000    6352880           1.67
       0.000 0.500000000000    6352880           2.00
       0.000 0.550000000000    6352880           2.22
       0.000 0.600000000000    6352880           2.50
       0.000 0.650000000000    6352880           2.86
       0.000 0.700000000000    6352880           3.33
       0.000 0.750000000000    6352880           4.00
       0.000 0.775000000000    6352880           4.44
       0.000 0.800000000000    6352880           5.00
       0.000 0.825000000000    6352880           5.71
       0.000 0.850000000000    6352880           6.67
       0.000 0.875000000000    6352880           8.00
       0.000 0.887500000000    6352880           8.89
       0.000 0.900000000000    6352880          10.00
       0.000 0.912500000000    6352880          11.43
       0.000 0.925000000000    6352880          13.33
       0.000 0.937500000000    6352880          16.00
       0.000 0.943750000000    6352880          17.78
       0.000 0.950000000000    6352880          20.00
       0.000 0.956250000000    6352880          22.86
       0.000 0.962500000000    6352880          26.67
       1.000 0.968750000000    6560147          32.00
       1.000 0.971875000000    6560147          35.56
       1.000 0.975000000000    6560147          40.00
       1.000 0.978125000000    6560147          45.71
       1.000 0.981250000000    6560147          53.33
       1.000 0.984375000000    6560147          64.00
       1.000 0.985937500000    6560147          71.11
       1.000 0.987500000000    6560147          80.00
       1.000 0.989062500000    6560147          91.43
       1.000 0.990625000000    6560147         106.67
       1.000 0.992187500000    6560147         128.00
       1.000 0.992968750000    6560147         142.22
       1.000 0.993750000000    6560147         160.00
       2.000 0.994531250000    6574848         182.86
       2.000 0.995312500000    6574848         213.33
       2.000 0.996093750000    6574848         256.00
       3.000 0.996484375000    6584092         284.44
       3.000 0.996875000000    6584092         320.00
       3.000 0.997265625000    6584092         365.71
       4.000 0.997656250000    6590692         426.67
       4.000 0.998046875000    6590692         512.00
       4.000 0.998242187500    6590692         568.89
       4.000 0.998437500000    6590692         640.00
       5.000 0.998632812500    6594565         731.43
       5.000 0.998828125000    6594565         853.33
       5.000 0.999023437500    6594565        1024.00
       5.000 0.999121093750    6594565        1137.78
       6.000 0.999218750000    6596646        1280.00
       6.000 0.999316406250    6596646        1462.86
       6.000 0.999414062500    6596646        1706.67
       7.000 0.999511718750    6597769        2048.00
       7.000 0.999560546875    6597769        2275.56
       7.000 0.999609375000    6597769        2560.00
       7.000 0.999658203125    6597769        2925.71
       8.000 0.999707031250    6598404        3413.33
       8.000 0.999755859375    6598404        4096.00
       9.000 0.999780273438    6598874        4551.11
       9.000 0.999804687500    6598874        5120.00
       9.000 0.999829101563    6598874        5851.43
      10.000 0.999853515625    6599171        6826.67
      11.000 0.999877929688    6599380        8192.00
      11.000 0.999890136719    6599380        9102.22
      11.000 0.999902343750    6599380       10240.00
      12.000 0.999914550781    6599520       11702.86
      12.000 0.999926757813    6599520       13653.33
      13.000 0.999938964844    6599642       16384.00
      13.000 0.999945068359    6599642       18204.44
      14.000 0.999951171875    6599709       20480.00
      15.000 0.999957275391    6599788       23405.71
      15.000 0.999963378906    6599788       27306.67
      16.000 0.999969482422    6599858       32768.00
      16.000 0.999972534180    6599858       36408.89
      16.000 0.999975585938    6599858       40960.00
      17.000 0.999978637695    6599921       46811.43
      17.000 0.999981689453    6599921       54613.33
      17.000 0.999984741211    6599921       65536.00
      17.000 0.999986267090    6599921       72817.78
      17.000 0.999987792969    6599921       81920.00
      18.000 0.999989318848    6599955       93622.86
      18.000 0.999990844727    6599955      109226.67
      18.000 0.999992370605    6599955      131072.00
      18.000 0.999993133545    6599955      145635.56
      19.000 0.999993896484    6599970      163840.00
      19.000 0.999994659424    6599970      187245.71
      19.000 0.999995422363    6599970      218453.33
      20.000 0.999996185303    6599977      262144.00
      21.000 0.999996566772    6599987      291271.11
      21.000 0.999996948242    6599987      327680.00
      21.000 0.999997329712    6599987      374491.43
      21.000 0.999997711182    6599987      436906.67
      22.000 0.999998092651    6599994      524288.00
      22.000 0.999998283386    6599994      582542.22
      22.000 0.999998474121    6599994      655360.00
      22.000 0.999998664856    6599994      748982.86
      22.000 0.999998855591    6599994      873813.33
      22.000 0.999999046326    6599994     1048576.00
      23.000 0.999999141693    6599995     1165084.44
      23.000 0.999999237061    6599995     1310720.00
      24.000 0.999999332428    6599999     1497965.71
      24.000 0.999999427795    6599999     1747626.67
      24.000 0.999999523163    6599999     2097152.00
      24.000 0.999999570847    6599999     2330168.89
      24.000 0.999999618530    6599999     2621440.00
      24.000 0.999999666214    6599999     2995931.43
      24.000 0.999999713898    6599999     3495253.33
      24.000 0.999999761581    6599999     4194304.00
      24.000 0.999999785423    6599999     4660337.78
      24.000 0.999999809265    6599999     5242880.00
      24.000 0.999999833107    6599999     5991862.86
      25.000 0.999999856949    6600000     6990506.67
      25.000 1.000000000000    6600000
#[Mean    =        0.054, StdDeviation   =        0.376]
#[Max     =       25.000, Total count    =      6600000]
#[Buckets =            4, SubBuckets     =         2048]
