       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    5889854           1.00
       0.000 0.100000000000    5889854           1.11
       0.000 0.200000000000    5889854           1.25
       0.000 0.300000000000    5889854           1.43
       0.000 0.400000000000    5889854           1.67
       0.000 0.500000000000    5889854           2.00
       0.000 0.550000000000    5889854           2.22
       0.000 0.600000000000    5889854           2.50
       0.000 0.650000000000    5889854           2.86
       0.000 0.700000000000    5889854           3.33
       0.000 0.750000000000    5889854           4.00
       0.000 0.775000000000    5889854           4.44
       0.000 0.800000000000    5889854           5.00
       0.000 0.825000000000    5889854           5.71
       1.000 0.850000000000    7062322           6.67
       1.000 0.875000000000    7062322           8.00
       1.000 0.887500000000    7062322           8.89
       1.000 0.900000000000    7062322          10.00
       1.000 0.912500000000    7062322          11.43
       1.000 0.925000000000    7062322          13.33
       1.000 0.937500000000    7062322          16.00
       1.000 0.943750000000    7062322          17.78
       1.000 0.950000000000    7062322          20.00
       1.000 0.956250000000    7062322          22.86
       1.000 0.962500000000    7062322          26.67
       1.000 0.968750000000    7062322          32.00
       1.000 0.971875000000    7062322          35.56
       1.000 0.975000000000    7062322          40.00
       1.000 0.978125000000    7062322          45.71
       1.000 0.981250000000    7062322          53.33
       1.000 0.984375000000    7062322          64.00
       1.000 0.985937500000    7062322          71.11
       1.000 0.987500000000    7062322          80.00
       1.000 0.989062500000    7062322          91.43
       1.000 0.990625000000    7062322         106.67
       1.000 0.992187500000    7062322         128.00
       1.000 0.992968750000    7062322         142.22
       1.000 0.993750000000    7062322         160.00
       1.000 0.994531250000    7062322         182.86
       1.000 0.995312500000    7062322         213.33
       1.000 0.996093750000    7062322         256.00
       1.000 0.996484375000    7062322         284.44
       1.000 0.996875000000    7062322         320.00
       1.000 0.997265625000    7062322         365.71
       2.000 0.997656250000    7070937         426.67
       2.000 0.998046875000    7070937         512.00
       2.000 0.998242187500    7070937         568.89
       2.000 0.998437500000    7070937         640.00
       2.000 0.998632812500    7070937         731.43
       3.000 0.998828125000    7076062         853.33
       3.000 0.999023437500    7076062        1024.00
       3.000 0.999121093750    7076062        1137.78
       3.000 0.999218750000    7076062        1280.00
       3.000 0.999316406250    7076062        1462.86
       3.000 0.999414062500    7076062        1706.67
       4.000 0.999511718750    7078606        2048.00
       4.000 0.999560546875    7078606        2275.56
       4.000 0.999609375000    7078606        2560.00
       4.000 0.999658203125    7078606        2925.71
       4.000 0.999707031250    7078606        3413.33
       4.000 0.999755859375    7078606        4096.00
       4.000 0.999780273438    7078606        4551.11
       5.000 0.999804687500    7079513        5120.00
       5.000 0.999829101563    7079513        5851.43
       5.000 0.999853515625    7079513        6826.67
       5.000 0.999877929688    7079513        8192.00
       5.000 0.999890136719    7079513        9102.22
       5.000 0.999902343750    7079513       10240.00
       5.000 0.999914550781    7079513       11702.86
       5.000 0.999926757813    7079513       13653.33
       6.000 0.999938964844    7079808       16384.00
       6.000 0.999945068359    7079808       18204.44
       6.000 0.999951171875    7079808       20480.00
       6.000 0.999957275391    7079808       23405.71
       6.000 0.999963378906    7079808       27306.67
       6.000 0.999969482422    7079808       32768.00
       6.000 0.999972534180    7079808       36408.89
       7.000 0.999975585938    7079944       40960.00
       7.000 0.999978637695    7079944       46811.43
       7.000 0.999981689453    7079944       54613.33
       7.000 0.999984741211    7079944       65536.00
       7.000 0.999986267090    7079944       72817.78
       7.000 0.999987792969    7079944       81920.00
       7.000 0.999989318848    7079944       93622.86
       7.000 0.999990844727    7079944      109226.67
       8.000 0.999992370605    7079986      131072.00
       8.000 0.999993133545    7079986      145635.56
       8.000 0.999993896484    7079986      163840.00
       8.000 0.999994659424    7079986      187245.71
       8.000 0.999995422363    7079986      218453.33
       8.000 0.999996185303    7079986      262144.00
       8.000 0.999996566772    7079986      291271.11
       8.000 0.999996948242    7079986      327680.00
       8.000 0.999997329712    7079986      374491.43
       8.000 0.999997711182    7079986      436906.67
       9.000 0.999998092651    7079998      524288.00
       9.000 0.999998283386    7079998      582542.22
       9.000 0.999998474121    7079998      655360.00
       9.000 0.999998664856    7079998      748982.86
       9.000 0.999998855591    7079998      873813.33
       9.000 0.999999046326    7079998     1048576.00
       9.000 0.999999141693    7079998     1165084.44
       9.000 0.999999237061    7079998     1310720.00
       9.000 0.999999332428    7079998     1497965.71
       9.000 0.999999427795    7079998     1747626.67
       9.000 0.999999523163    7079998     2097152.00
       9.000 0.999999570847    7079998     2330168.89
       9.000 0.999999618530    7079998     2621440.00
       9.000 0.999999666214    7079998     2995931.43
       9.000 0.999999713898    7079998     3495253.33
      10.000 0.999999761581    7079999     4194304.00
      10.000 0.999999785423    7079999     4660337.78
      10.000 0.999999809265    7079999     5242880.00
      10.000 0.999999833107    7079999     5991862.86
      10.000 0.999999856949    7079999     6990506.67
      12.000 0.999999880791    7080000     8388608.00
      12.000 1.000000000000    7080000
#[Mean    =        0.173, StdDeviation   =        0.399]
#[Max     =       12.000, Total count    =      7080000]
#[Buckets =            4, SubBuckets     =         2048]
